Serial Number:20541928 --

Date Time - GMT +09:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2020-08-29 17:00:00,27.41,3969, , , , ,
2020-08-29 17:10:00,27.41,3369, , , , ,
2020-08-29 17:20:00,27.32,2890, , , , ,
2020-08-29 17:30:00,27.37,2518, , , , ,
2020-08-29 17:40:00,27.32,2113, , , , ,
2020-08-29 17:50:00,27.28,1556, , , , ,
2020-08-29 18:00:00,27.24,1153, , , , ,
2020-08-29 18:10:00,27.24,859, , , , ,
2020-08-29 18:20:00,27.24,460, , , , ,
2020-08-29 18:30:00,27.20,346, , , , ,
2020-08-29 18:40:00,27.24,210, , , , ,
2020-08-29 18:50:00,27.20,93, , , , ,
2020-08-29 19:00:00,27.20,20, , , , ,
2020-08-29 19:10:00,27.11,2, , , , ,
2020-08-29 19:20:00,27.20,0, , , , ,
2020-08-29 19:30:00,27.11,0, , , , ,
2020-08-29 19:40:00,27.15,0, , , , ,
2020-08-29 19:50:00,27.15,0, , , , ,
2020-08-29 20:00:00,27.11,0, , , , ,
2020-08-29 20:10:00,27.15,0, , , , ,
2020-08-29 20:20:00,27.20,0, , , , ,
2020-08-29 20:30:00,27.15,0, , , , ,
2020-08-29 20:40:00,27.11,0, , , , ,
2020-08-29 20:50:00,27.11,0, , , , ,
2020-08-29 21:00:00,27.20,0, , , , ,
2020-08-29 21:10:00,27.15,0, , , , ,
2020-08-29 21:20:00,27.15,0, , , , ,
2020-08-29 21:30:00,27.20,0, , , , ,
2020-08-29 21:40:00,27.15,0, , , , ,
2020-08-29 21:50:00,27.15,0, , , , ,
2020-08-29 22:00:00,27.15,0, , , , ,
2020-08-29 22:10:00,27.15,0, , , , ,
2020-08-29 22:20:00,27.20,0, , , , ,
2020-08-29 22:30:00,27.11,0, , , , ,
2020-08-29 22:40:00,27.11,0, , , , ,
2020-08-29 22:50:00,27.15,0, , , , ,
2020-08-29 23:00:00,27.11,0, , , , ,
2020-08-29 23:10:00,27.11,0, , , , ,
2020-08-29 23:20:00,27.15,0, , , , ,
2020-08-29 23:30:00,27.15,0, , , , ,
2020-08-29 23:40:00,27.20,0, , , , ,
2020-08-29 23:50:00,27.11,0, , , , ,
2020-08-30 00:00:00,27.11,0, , , , ,
2020-08-30 00:10:00,27.11,0, , , , ,
2020-08-30 00:20:00,27.15,0, , , , ,
2020-08-30 00:30:00,27.15,0, , , , ,
2020-08-30 00:40:00,27.15,0, , , , ,
2020-08-30 00:50:00,27.11,0, , , , ,
2020-08-30 01:00:00,27.15,0, , , , ,
2020-08-30 01:10:00,27.15,0, , , , ,
2020-08-30 01:20:00,27.11,0, , , , ,
2020-08-30 01:30:00,27.11,0, , , , ,
2020-08-30 01:40:00,27.15,0, , , , ,
2020-08-30 01:50:00,27.15,0, , , , ,
2020-08-30 02:00:00,27.11,0, , , , ,
2020-08-30 02:10:00,27.11,0, , , , ,
2020-08-30 02:20:00,27.11,0, , , , ,
2020-08-30 02:30:00,27.15,0, , , , ,
2020-08-30 02:40:00,27.11,0, , , , ,
2020-08-30 02:50:00,27.11,0, , , , ,
2020-08-30 03:00:00,27.15,0, , , , ,
2020-08-30 03:10:00,27.20,0, , , , ,
2020-08-30 03:20:00,27.28,0, , , , ,
2020-08-30 03:30:00,27.15,0, , , , ,
2020-08-30 03:40:00,27.07,0, , , , ,
2020-08-30 03:50:00,27.20,0, , , , ,
2020-08-30 04:00:00,27.11,0, , , , ,
2020-08-30 04:10:00,27.15,0, , , , ,
2020-08-30 04:20:00,27.20,0, , , , ,
2020-08-30 04:30:00,27.24,0, , , , ,
2020-08-30 04:40:00,27.24,0, , , , ,
2020-08-30 04:50:00,27.24,0, , , , ,
2020-08-30 05:00:00,27.28,0, , , , ,
2020-08-30 05:10:00,27.28,0, , , , ,
2020-08-30 05:20:00,27.20,0, , , , ,
2020-08-30 05:30:00,27.20,0, , , , ,
2020-08-30 05:40:00,27.15,4, , , , ,
2020-08-30 05:50:00,27.20,42, , , , ,
2020-08-30 06:00:00,27.15,153, , , , ,
2020-08-30 06:10:00,27.20,323, , , , ,
2020-08-30 06:20:00,27.24,550, , , , ,
2020-08-30 06:30:00,27.28,776, , , , ,
2020-08-30 06:40:00,27.28,1085, , , , ,
2020-08-30 06:50:00,27.37,1617, , , , ,
2020-08-30 07:00:00,27.41,2104, , , , ,
2020-08-30 07:10:00,27.41,2549, , , , ,
2020-08-30 07:20:00,27.45,3008, , , , ,
2020-08-30 07:30:00,27.50,3567, , , , ,
2020-08-30 07:40:00,27.58,4365, , , , ,
2020-08-30 07:50:00,27.58,5158, , , , ,
2020-08-30 08:00:00,27.71,5952, , , , ,
2020-08-30 08:10:00,27.71,6561, , , , ,
2020-08-30 08:20:00,27.75,7355, , , , ,
2020-08-30 08:30:00,27.88,8287, , , , ,
2020-08-30 08:40:00,27.93,8602, , , , ,
2020-08-30 08:50:00,28.05,9841, , , , ,
2020-08-30 09:00:00,28.10,11474, , , , ,
2020-08-30 09:10:00,28.14,11796, , , , ,
2020-08-30 09:20:00,28.18,11571, , , , ,
2020-08-30 09:30:00,28.27,13384, , , , ,
2020-08-30 09:40:00,28.27,13128, , , , ,
2020-08-30 09:50:00,28.44,14495, , , , ,
2020-08-30 10:00:00,28.44,17336, , , , ,
2020-08-30 10:10:00,28.48,17208, , , , ,
2020-08-30 10:20:00,28.61,16174, , , , ,
2020-08-30 10:30:00,28.70,18939, , , , ,
2020-08-30 10:40:00,28.70,16394, , , , ,
2020-08-30 10:50:00,28.74,17469, , , , ,
2020-08-30 11:00:00,28.65,15549, , , , ,
2020-08-30 11:10:00,28.83,21043, , , , ,
2020-08-30 11:20:00,29.00,23357, , , , ,
2020-08-30 11:30:00,29.08,19195, , , , ,
2020-08-30 11:40:00,29.00,23388, , , , ,
2020-08-30 11:50:00,29.08,21453, , , , ,
2020-08-30 12:00:00,29.17,21770, , , , ,
2020-08-30 12:10:00,29.30,22252, , , , ,
2020-08-30 12:20:00,29.34,19492, , , , ,
2020-08-30 12:30:00,29.34,24013, , , , ,
2020-08-30 12:40:00,29.43,23071, , , , ,
2020-08-30 12:50:00,29.38,23409, , , , ,
2020-08-30 13:00:00,29.43,21176, , , , ,
2020-08-30 13:10:00,29.34,20521, , , , ,
2020-08-30 13:20:00,29.51,18888, , , , ,
2020-08-30 13:30:00,29.51,20613, , , , ,
2020-08-30 13:40:00,29.43,18816, , , , ,
2020-08-30 13:50:00,29.56,21381, , , , ,
2020-08-30 14:00:00,29.64,21463, , , , ,
2020-08-30 14:10:00,29.56,18647, , , , ,
2020-08-30 14:20:00,29.56,20700, , , , ,
2020-08-30 14:30:00,29.56,15124, , , , ,
2020-08-30 14:40:00,29.64,16374, , , , ,
2020-08-30 14:50:00,29.47,15708, , , , ,
2020-08-30 15:00:00,29.56,17275, , , , ,
2020-08-30 15:10:00,29.60,14674, , , , ,
2020-08-30 15:20:00,29.64,13143, , , , ,
2020-08-30 15:30:00,29.64,12677, , , , ,
2020-08-30 15:40:00,29.56,11791, , , , ,
2020-08-30 15:50:00,29.43,10634, , , , ,
2020-08-30 16:00:00,29.47,9577, , , , ,
2020-08-30 16:10:00,29.38,9477, , , , ,
2020-08-30 16:20:00,29.30,8379, , , , ,
2020-08-30 16:30:00,29.34,7148, , , , ,
2020-08-30 16:40:00,29.30,6054, , , , ,
2020-08-30 16:50:00,29.21,5553, , , , ,
2020-08-30 17:00:00,29.21,4639, , , , ,
2020-08-30 17:10:00,29.17,3930, , , , ,
2020-08-30 17:20:00,29.08,3058, , , , ,
2020-08-30 17:30:00,29.04,2581, , , , ,
2020-08-30 17:40:00,29.00,2020, , , , ,
2020-08-30 17:50:00,29.00,1556, , , , ,
2020-08-30 18:00:00,28.91,1232, , , , ,
2020-08-30 18:10:00,28.87,903, , , , ,
2020-08-30 18:20:00,28.87,543, , , , ,
2020-08-30 18:30:00,28.83,370, , , , ,
2020-08-30 18:40:00,28.74,208, , , , ,
2020-08-30 18:50:00,28.70,88, , , , ,
2020-08-30 19:00:00,28.70,21, , , , ,
2020-08-30 19:10:00,28.70,2, , , , ,
2020-08-30 19:20:00,28.70,0, , , , ,
2020-08-30 19:30:00,28.70,0, , , , ,
2020-08-30 19:40:00,28.70,0, , , , ,
2020-08-30 19:50:00,28.70,0, , , , ,
2020-08-30 20:00:00,28.70,0, , , , ,
2020-08-30 20:10:00,28.70,0, , , , ,
2020-08-30 20:20:00,28.65,0, , , , ,
2020-08-30 20:30:00,28.70,0, , , , ,
2020-08-30 20:40:00,28.70,0, , , , ,
2020-08-30 20:50:00,28.65,0, , , , ,
2020-08-30 21:00:00,28.70,0, , , , ,
